MUST HAVE 400 WORDS FOR THE TOEFL AND IELTS,,,,,
№,Үг,Дуудлага,Үгсийн аймаг,Орчуулга,Жишээ өгүүлбэр
1,abandon,/əˈbæn.dən/,v,"орхих явах, болих орхих, зогсоох","To save their lives, the sailors had to abandon the sinking ship."
2,adversely,/ˈæd.vɜː.sli/,adv,сөрөгөөр,Excessive rainfall early in the spring can adversely affect the planting of crops.
3,aggregate,/ˈæg.rɪ.gət/,"n,v","нийт, нэгтгэх, нийлүүлэх",It is impossible to judge last year’s performance without knowing the aggregate sales numbers.
4,cultivation,/ˌkʌl.tɪˈveɪ.ʃ ə n,n,тариалалт,"With the development of land cultivation, hunters and gatherers were able to settle in one place."
5,fertilize,/ˈfɜː.tɪ.laɪz/,v,бордох,This farm fertilizes tomatoes more than any other crop. 
6,intensify,/ɪnˈten t  .sɪ.faɪ/,v,эрчимжүүлэх,Jacob’s long absence intensified his certainty that he should marry Rose.
7,irrigation,/ˌɪr.ɪˈgeɪ.ʃ ə n/,n,усжуулалт,"In dry areas of the country, you can see ditches all over the farmland for irrigation"
8,obtain,/əbˈteɪn/,v,"олж авах, авах","After a series of difficult interviews, he finally was able to obtain the job."
9,photosynthesis,/ˌfəʊ.tə ʊ  ˈsɪn t  .θə.sɪs/,n,фотосинтез,Oxygen is a by-product of the process of photosynthesis.
10,precipitation,/prɪˌsɪp.ɪˈteɪ.ʃ ə n/,n,хур тунадас,"In the Pacific Northwest, the high level of precipitation ensures rich, green plant life."
11,anticipate,/ænˈtɪs.ɪ.peɪt/,v,"урьдаас мэдэх, таамаглах","By placing sensors in earthquake-prone areas, scientists can anticipate some tremors in time to warn the public."
12,flood,/flʌd/,n,үер,The constant rain and poor drainage system caused a flood in town.
13,catastrophic,/ˌkæt.əˈstrɒf.ɪk/,adj,сүйрлийн,The architect died in a catastrophic elevator accident.
14,impact,/ˈɪm.pækt/,n,"нөлөө, нөлөөлөл",The speech about the importance of education made an impact on me.
15,collide,/kəˈlaɪd/,v,мөргөлдөх,"As usual, their holiday was ruined when their in-laws’ views on politics collided with their own."
16,persevere,/ˌpɜː.sɪˈvɪə r /,v,цөхрөлтгүй зүтгэх,The hikers persevered despite the bad weather and the icy trail.
17,eruption,/ɪˈrʌp.ʃ ə n/,n,дэлбэрэлт,The eruption of Mount St. Helens in 1980 caused 57 deaths and immeasurable change to the face of the mountain.
18,plunge,/plʌndʒ/,v,шумбах доошлох,He jumped off the diving board and plunged into the pool.
19,famine,/fæm.ɪn,n,өлсгөлөн,The potato famine in Ireland in the mid-nineteenth century caused large numbers of Irish people to emigrate to America.
20,unleash,/ʌnˈliːʃ/,v,"cуллах, дураар тавих",He is from such an unemotional family. He will never learn to unleash his feelings.
21,adapt,/əˈdæpt/,v,"дасах зохицох, тааруулах, тохируулах",Dinosaurs could not adapt to the warmer temperatures.
22,inherent,/ɪnˈher. ə nt/,adj,"угийн, төрөлхийн",No job can be interesting all the time. Boredom is inherent in any kind of work.
23,diverse,/dɪˈvɝːs/,adj,"төрөл бүрийн, олон янзын",India is one of the most linguistically diverse countries in the world.
24,migration,/maɪˈgreɪ.ʃ ə n/,n,"нүүдэл, шилжих хөдөлгөөн",The migration of farm workers from one state to the next depends primarily on the harvest.
25,evolve,/ɪˈvɒlv/,v,"боловсруулах, хөгжүүлэх, хувьсан өөрчлөгдөх","Modern-day sharks evolved from their ancestor Eryops, which lived more than 200 million years ago."
26,physical,/ˈfɪz.ɪ.k ə l/,adj,биеийн,"Because of the shape of its throat, an ape does not have the physical ability to speak."
27,feature,/ˈfiː.tʃə r /,n,онцлог шинж,The best feature of this car is its heated seats.
28,process,/ˈprəʊ.ses/,n,үйл явц,"To get a good job, most people go through a long process of letterwriting and interviews."
29,generation,/dʒen.əreɪ.ʃ ə n/,n,үе,"As older managers retired, a new generation of leaders took control of the company."
30,survive,/səˈvaɪv/,v,"амьд үлдэх, амьд гарах, давж гарах","After getting lost in the mountains, Gordon survived by eating wild plants and catching fish."
31,constraint,/kənstreɪnt/,n,хязгаарлалт,The constraints of military life kept Eileen from seeing Private Morris more than once a month.
32,emission,/ɪˈmɪʃ. ə n/,n,ялгаруулалт,The Environmental Protection Agency regulates the emission of pollutants into the air.
33,contamination,/kəntæm.ɪneɪ.ʃ ə n/,n,бохирдол,The contamination in the river came from the factory located just upstream.
34,extinction,/ɪkˈstɪŋk.ʃ ə n/,n,мөхөл,Human beings have caused the extinction of many other species.
35,deplete,/dɪˈpliːt/,v,багасгах хорогдох,The prolonged war depleted the country’s national treasury.
36,reservoir,/ˈrez.ə.vwɑː r /,n,усан сан,Cult members threatened to poison the town’s water reservoir.
37,dispose of,/dɪˈspəʊz ɒv /,v,"салгах, ангижруулах",She disposed of her unwanted possessions before moving.
38,shrink,/ʃrɪŋk/,v,агших,"If you dry your clothing on the “high heat” setting, they may shrink."
39,elementally,/ˌel.ɪˈmen.t ə l.i/,adv,үндсэндээ,"Elementally, coal and diamonds are the same."
40,stable,/ˈsteɪ.bl ̩/,adj,"бат, бөх, тогтвортой",He fell because the ladder wasn’t stable.
41,adjust,/əˈdʒʌst/,v,"тохируулах, тааруулах, нийцүүлэх",Travelers are advised to adjust their watches before arriving in the new time zone.
42,maximize,/mæk.sɪ.maɪz/,v,хамгийн их болгох,A coach helps each athlete maximize his or her potential.
43,arbitrary,/ˈɑː.bɪ.trə.ri/,adj,дур зоргоороо,"The decision to build a school in Blackberry Township was arbitrary, without any thought to future housing patterns."
44,parallel,/ˈpær.ə.lel/,adj,зэрэгцээ,The street where I live runs parallel to the main road through town.
45,denominator,/dɪˈnɒm.ɪ.neɪ.tə r /,n,хуваарь,"In the fraction 1⁄2, the number 2 is the denominator."
46,proportion,/prəˈpɔː.ʃ ə n/,n, харьцаа,The average employee spends a large proportion of each workday answering e-mails.
47,exponentially,/ˌek.spə ʊ  ˈnen. t  ʃ ə l.i/,adv,"огцом, цочир","We are growing exponentially in resources, people, and financing."
48,rate,/reɪt/,n,"хурд, төвшин, хэмжээ, үнэ тариф",Postal rates in Japan are among the highest in the world.
49,infinitesimal,/ˌɪn.fɪ.nɪˈtes.ɪ.məl/,adj,маш жижигхэн,"The number of contaminants in the water was infinitesimal, so the water was safe to drink."
50,sequence,/si.kwəins/,v,дэс дараалалд оруулах,Volunteers have been asked to sequence the files and organize the boxes.
51,accuracy,/ˈæk.jʊ.rə.si/,n,нарийвчлал,The research department checks all our articles for accuracy of facts before we print them.
52,integrally,/ˈɪn.tɪ.grəli/,adv,"бүхлээр нь, бүхэлдээ",Writing and spelling are taught integrally as part of the reading program.
53,adjacent,/əˈdʒeɪ.s ə nt/,adj,"зэрэгцээ, хөрш","Even though the villages are adjacent to each other, their residents speak different languages."
54,overlap,/ˌəʊ.vəˈlæp/,v,"давхцах, давхардах","One of the two assistants will likely get fired, since most of their duties in the office overlap."
55,compress,/kəmˈpres/,v,"шахах, дарах","To make the foundation stronger, they compressed the soil before pouring the concrete."
56,retain,/rɪˈteɪn/,v,"хадгалж үлдэх, тогтоон барих, хэвээр хадгалах",The rain fell so heavily that the banks of the river could not retain all the water.
57,feasibly,/ˈfiː.zə.bli/,adv,хэрэгжиж болохуйц,Scientists can’t feasibly bring energy from deep ocean currents to where it is needed—on land.
58,seep,/siːp/,v,"нэвчих, шүүрэх","As the containers rusted, the toxic waste seeped into the ground."
59,gut,/gʌt/,v,хоослох,"In order to remodel the house, we must first gut it and throw away all the old fixtures."
60,structure,/ˈstrʌk.tʃə r /,n,"бүтэц, зохион байгуулалт",Most companies have a social structure that can’t be understood by outsiders.
61,circulate,/ˈsɜː.kjʊ.leɪt/,v,"тойрох, эргэлдэх, хүргэх, түгээх, тараах",The gossip circulated quickly through the small town.
62,implement,/ˈɪm.plɪ.ment/,v,хэрэгжүүлэх,Not until after the new software was installed could we implement the new filing system.
63,corrode,/kəˈrəʊd/,v,зэврэх,"Sitting in salt water, the old coins corroded and became very easy to break."
64,innovative,/ˈɪn.ə.və.tɪv/,adj,шинийг сэдсэн санаачилсан,The innovative use of props and lighting drew many favorable comments.
65,derive,/dɪˈraɪv/,v,гарган авах,The Cyrillic alphabet was derived from the Greek alphabet.
66,installation,/ˌɪn.stəˈleɪ.ʃ ə n/,n, суурилуулалт,Installation of the new software takes only four minutes. 
67,detection,/dɪˈtek.ʃ ə n/,n,илрүүлэлт,"With new medical technology, the detection of cancer is much easier nowadays."
68,maintenance,/ˈmeɪn.tɪ.nən t  s/,n,арчилгаа,The only problem with living in such a big house is that it requires a lot of maintenance.
69,expeditiously,/ˌek.spəˈdɪʃ.ə.sli/,adv,"хурданаар, түргэнээр","Using carrier pigeons, the military commanders exchanged messages expeditiously."
70,simulation,/ˌsɪm.jʊˈleɪ.ʃ ə n/,n,"дууриалгалт, загварчлал","To test car safety, automobile makers study crash simulations."
71,combustion,/kəmˈbʌs.tʃ ə n/,n,дотоод шаталт,"When air quality is poor, combustion of materials in a fireplace is prohibited."
72,permeate,/ˈpɜː.mi.eɪt/,v,"нэвчих, нэвтрэх",The smell of cooking permeated the entire apartment building.
73,component,/kəmˈpəʊ.nənt/,n,бүрэлдэхүүн хэсэг,Their home theater system has a number of separate components.
74,rotate,/rə ʊ  ˈteɪt/,v,эргэх,The planet rotates on its axis once every 14 Earth days.
75,convey,/kənˈveɪ/,v,дамжуулах,A messenger conveyed the prince’s letter to the commander of the army.
76,solar,/ˈsəʊ.lə r /,adj,нарны,The ancient society kept time with a solar calendar.
77,discretely,/dɪˈskriːtli/,adv,"тусдаа, тус тусд нь","In order to understand how the engine worked, each component needed to be studied discretely."
78,source,/sɔːs/,n,эх сурвалж,The reporter was unable to identify the source of the information for his story.
79,nucleus,/ˈnjuː.kli.əs/,n,цөм,The nucleus of many European cities is the town square.
80,trigger,/ˈtrɪg.ə r /,v,"эхлүүлэх, өдөөх, үүсгэх",I was certain any mention of politics would trigger a big argument.
81,acquisition,/ˌæk.wɪˈzɪʃ. ə n/,n,"авалт, эзэмшилт, өөрийн болголт",The acquisition of huge amounts of data has helped our research enormously.
